576 1820
262 475 18
310 389 15
517 99 10
174 25 4
169 360 44
52 97 15
220 310 35
429 202 35
425 286 22
29 402 41
165 362 37
3 169 1
441 514 20
435 16 38
101 142 16
126 138 41
185 328 21
248 546 16
459 407 49
65 53 44
157 53 44
262 344 29
1 480 23
47 361 39
142 55 25
275 437 11
37 476 25
549 339 25
185 12 36
172 446 24
244 265 33
259 401 39
205 298 1
27 302 29
361 121 50
550 35 29
263 274 7
254 104 21
334 13 36
502 381 14
507 498 46
2 335 2
238 168 45
414 143 30
115 222 39
312 111 26
142 138 21
98 235 19
350 335 42
271 427 38
445 248 24
422 457 49
368 96 40
61 452 12
354 463 31
527 236 31
277 379 9
410 48 16
259 496 25
86 557 29
256 118 17
440 65 43
253 517 42
423 64 47
164 71 40
463 254 17
23 296 42
342 256 20
122 335 44
397 330 29
427 422 24
255 204 30
275 530 2
28 271 1
561 484 37
291 383 49
221 482 34
266 320 21
278 509 49
175 486 47
232 474 26
39 536 30
111 210 9
338 164 48
86 135 7
197 463 28
19 8 33
566 122 33
251 301 38
422 286 15
267 266 4
42 108 17
64 171 43
451 272 14
440 551 13
130 274 15
135 389 45
564 174 42
350 263 46
158 539 38
19 366 48
154 157 34
319 237 7
47 523 41
544 31 16
303 31 39
530 449 39
232 465 19
56 469 9
460 43 42
421 497 9
104 312 30
405 374 25
379 264 45
368 189 47
70 289 32
350 127 28
507 392 39
278 437 37
64 250 26
5 305 9
399 338 19
315 494 22
289 333 50
388 4 8
272 6 44
535 255 50
410 529 27
384 245 40
336 530 48
204 521 48
82 520 33
468 294 18
311 521 9
418 100 45
459 141 15
201 361 20
236 480 9
569 331 18
375 77 26
550 239 41
197 354 29
145 258 33
500 336 25
34 131 26
532 331 49
39 371 4
343 2 29
385 1 14
103 412 32
486 89 24
497 69 17
191 4 14
157 187 50
184 110 9
329 85 43
309 318 14
234 283 15
336 405 7
15 14 21
497 148 4
419 542 17
422 50 13
199 118 31
516 449 2
85 94 45
375 483 34
279 39 14
223 524 45
386 359 18
149 56 15
559 560 44
176 442 16
15 456 46
402 201 41
366 441 14
449 336 23
345 102 37
398 45 48
472 273 46
547 28 1
298 496 41
83 486 29
266 276 19
51 173 35
279 214 16
254 389 49
420 507 33
87 281 9
221 528 35
556 109 22
523 51 9
553 52 23
239 225 47
317 357 40
156 321 45
95 444 40
190 391 18
567 326 33
329 230 11
397 219 17
336 571 7
332 311 46
464 497 24
82 136 15
243 336 8
307 127 29
319 236 31
174 531 6
551 536 25
205 384 11
6 279 48
427 548 19
237 73 48
300 245 48
481 171 2
551 76 21
124 49 36
385 406 21
50 511 14
2 291 41
572 123 28
26 296 11
307 242 42
12 397 34
396 241 15
27 374 28
93 372 35
164 492 34
449 427 15
31 114 35
51 101 21
376 419 35
345 415 47
253 127 23
7 157 38
212 163 30
104 271 26
255 217 1
559 45 45
171 575 1
185 321 47
351 299 49
539 505 6
345 156 8
221 516 21
414 283 12
234 81 32
96 563 12
532 388 33
315 408 18
42 137 39
147 141 8
198 273 34
386 301 19
302 68 9
82 425 23
315 235 46
554 218 14
5 331 18
302 329 40
324 33 21
168 211 49
495 376 6
207 366 4
402 168 18
4 548 13
112 319 31
543 322 19
217 572 23
278 464 24
455 223 33
89 397 10
123 259 20
455 436 37
509 485 23
51 568 37
115 286 14
155 139 36
417 4 8
552 471 3
563 477 36
357 34 4
76 318 44
7 574 30
116 133 18
549 261 15
198 165 10
460 497 48
327 523 40
521 533 41
175 444 22
359 439 4
318 254 2
12 305 9
345 263 37
163 76 30
319 204 36
400 106 44
399 71 48
82 235 17
547 286 36
10 270 3
291 88 21
366 206 41
135 317 19
549 183 45
251 70 4
517 424 39
456 204 32
114 46 38
72 37 28
347 488 43
118 132 9
401 17 2
299 399 31
293 359 9
228 254 17
382 215 37
368 248 7
316 564 10
445 210 27
227 288 35
448 294 44
124 189 22
264 569 8
85 85 22
319 572 37
568 478 37
434 398 43
326 262 37
286 160 47
418 462 26
401 486 34
506 141 16
276 317 42
120 512 15
453 219 8
186 388 39
508 258 32
315 41 46
390 37 8
521 62 10
54 505 11
505 92 43
5 557 38
470 145 2
400 114 11
57 230 36
227 546 26
398 15 10
507 50 48
217 444 19
279 101 3
57 431 7
478 115 1
244 538 47
406 462 17
517 115 28
334 353 13
107 432 4
179 130 5
154 229 12
423 122 44
494 257 43
286 535 1
392 44 32
221 387 42
545 97 50
257 538 19
29 245 1
177 156 42
205 43 4
11 65 45
554 487 5
377 57 17
215 112 16
483 331 37
396 415 50
315 496 23
428 465 15
504 395 42
396 271 14
465 407 5
189 554 14
192 405 19
469 27 28
334 26 22
175 377 37
311 188 23
414 210 46
104 201 13
351 124 6
572 138 11
228 371 29
304 418 27
410 195 40
224 222 13
439 44 5
25 573 20
128 85 22
117 548 44
373 398 11
84 483 9
456 486 37
541 353 4
150 320 20
39 165 8
567 300 23
289 321 21
389 367 42
284 486 50
232 19 26
287 158 32
22 188 45
36 34 30
56 22 28
246 128 31
237 149 12
64 340 34
243 288 29
316 567 22
253 100 11
241 484 17
11 287 14
14 269 32
22 134 31
449 296 32
514 479 23
563 377 17
436 198 36
94 251 34
108 376 14
4 331 20
535 214 3
472 87 7
105 504 35
334 46 40
385 399 21
80 414 16
411 155 17
409 398 35
427 197 17
262 18 16
557 411 12
334 377 13
555 536 50
293 542 21
440 90 22
310 87 48
263 162 12
173 60 10
454 452 44
298 420 24
232 103 9
183 505 45
523 13 27
16 68 19
235 151 49
457 225 19
169 309 43
555 550 25
416 174 2
275 471 2
400 466 4
66 428 48
58 457 24
126 13 5
449 273 44
77 371 47
406 260 22
321 280 19
63 389 33
260 98 35
174 14 6
197 115 25
406 45 8
333 314 14
332 518 13
109 2 19
265 4 33
401 81 47
312 101 47
412 124 27
349 436 7
380 55 37
552 139 30
326 458 10
461 507 34
21 429 4
84 423 16
125 214 36
535 205 1
204 25 45
548 258 32
423 539 14
17 377 32
71 401 47
151 18 38
67 537 8
132 522 4
120 397 45
25 541 16
333 255 50
7 525 45
317 185 14
176 23 22
530 333 13
538 87 40
254 16 3
455 118 2
376 114 32
436 203 29
564 422 41
200 48 49
187 252 50
180 514 13
48 193 26
274 60 14
422 294 18
540 259 44
52 147 38
255 554 3
7 24 5
258 102 31
107 538 34
568 122 39
209 221 46
282 561 26
49 149 14
466 7 35
336 17 43
161 161 1
134 21 39
38 8 1
525 61 16
370 377 35
403 568 39
144 5 6
438 172 41
337 346 33
322 497 4
513 551 42
96 238 47
548 56 33
312 472 33
105 260 21
116 186 20
17 388 5
194 102 37
47 79 19
148 20 18
441 283 44
420 369 32
188 326 22
261 154 15
251 458 37
206 115 35
68 444 30
165 228 35
396 129 10
534 494 48
55 399 26
543 130 21
557 176 42
558 256 5
78 128 2
280 141 38
97 560 28
128 266 43
409 509 25
31 281 41
385 475 17
237 507 3
143 193 26
33 103 24
60 154 6
184 554 42
202 241 1
279 373 13
366 111 29
563 193 48
429 429 11
341 287 1
258 4 16
205 95 37
140 533 33
189 438 23
380 32 37
129 113 28
447 470 46
7 68 18
465 558 32
141 178 18
501 422 12
23 54 40
198 189 29
356 422 48
480 265 30
447 330 7
118 29 49
464 445 40
84 405 19
73 516 21
350 46 10
423 85 18
62 433 22
92 475 50
131 79 3
418 541 16
322 422 23
271 435 44
412 251 35
391 66 8
562 312 2
196 249 14
336 498 40
146 302 41
137 70 24
424 6 12
519 16 27
484 17 16
562 289 30
296 412 14
167 183 18
81 191 47
335 307 13
308 400 9
484 456 35
74 249 35
404 413 14
81 70 47
312 215 30
528 340 2
326 550 4
503 126 48
125 312 35
131 74 8
283 215 28
433 82 3
45 452 49
164 144 50
180 167 32
506 145 44
203 458 41
219 117 31
377 168 45
408 492 44
218 145 16
223 54 6
457 45 13
537 239 41
115 52 20
13 370 10
183 370 13
490 79 4
81 62 27
147 381 4
413 456 17
378 443 38
429 292 4
58 249 26
89 166 28
398 79 20
435 8 42
292 576 13
566 158 46
362 342 39
351 197 21
60 4 29
179 440 3
144 146 20
455 459 36
489 34 47
245 252 23
21 351 44
346 22 29
250 39 28
375 568 18
201 92 5
198 491 38
295 344 50
487 243 6
519 1 14
44 298 46
536 473 19
60 540 10
258 32 14
82 338 25
513 21 26
124 562 40
100 472 31
373 291 23
143 358 12
477 409 16
58 497 44
282 197 3
503 170 43
263 203 31
194 202 44
392 14 44
84 162 30
575 81 10
556 8 48
364 63 14
108 164 3
341 192 49
375 50 15
311 108 21
280 92 3
406 322 45
350 56 14
417 298 9
471 430 18
207 398 36
84 204 48
111 406 15
13 459 17
345 159 25
292 349 9
77 77 10
538 59 33
187 266 14
218 420 30
499 169 9
293 409 39
482 281 31
394 469 50
387 450 39
140 408 36
431 440 47
15 215 30
34 282 46
298 84 17
354 360 14
422 522 17
150 137 17
296 387 40
237 167 37
59 112 25
462 219 37
274 357 4
501 478 33
174 269 32
235 379 47
357 8 8
457 262 3
351 434 2
359 341 36
387 542 7
154 448 17
222 398 50
116 12 11
203 115 43
493 519 10
126 151 22
355 477 47
268 7 34
257 13 24
240 225 33
563 431 8
362 550 41
279 11 42
222 284 30
359 132 40
499 269 39
510 441 30
67 498 27
303 450 20
186 57 23
250 549 11
80 101 50
138 270 38
243 480 49
507 462 15
238 329 33
545 426 28
530 458 16
315 30 11
389 564 13
411 509 20
163 415 28
514 379 22
499 15 47
77 532 49
351 120 5
283 249 37
555 557 6
418 87 28
261 33 42
215 121 14
164 443 46
382 126 14
257 346 44
126 64 37
565 457 37
423 511 29
129 262 41
311 75 48
571 407 42
543 235 36
194 176 6
146 102 10
492 452 15
501 78 43
75 180 49
422 41 13
324 420 30
361 407 31
323 166 46
206 201 5
64 568 31
146 539 5
309 442 31
185 348 39
49 511 2
302 261 33
422 97 28
573 17 44
319 439 25
522 506 39
392 332 8
408 102 12
332 506 32
263 408 9
103 531 35
282 471 46
319 109 10
121 450 17
304 399 37
212 182 43
570 356 33
554 368 41
162 54 27
212 205 19
339 8 40
430 208 22
24 217 25
70 6 3
206 529 13
55 314 44
122 409 14
128 21 14
468 555 16
154 409 9
160 9 43
105 231 42
73 425 50
161 442 14
15 482 19
384 122 38
24 531 4
326 424 22
504 470 45
56 562 12
123 241 43
47 429 23
20 305 8
343 246 10
357 7 42
549 241 33
338 135 35
333 552 36
366 279 25
441 533 21
527 251 46
182 115 29
152 113 13
466 359 32
78 94 43
9 369 5
117 324 28
267 5 25
159 60 1
259 240 43
500 476 36
321 294 6
267 214 37
94 563 47
467 56 21
223 181 30
552 79 49
557 253 4
519 116 16
441 392 28
428 34 26
346 21 13
152 231 2
427 384 4
50 333 33
31 171 28
71 515 39
326 37 15
189 541 47
471 282 29
81 316 5
524 565 48
287 226 33
550 366 32
235 323 24
123 335 29
361 569 11
499 56 23
575 474 48
469 369 46
439 232 30
476 570 12
200 316 42
120 137 47
30 571 18
515 76 3
18 41 32
343 546 27
518 120 44
530 429 38
198 185 22
37 539 19
427 37 43
418 201 27
156 232 48
54 291 8
143 495 48
30 322 41
85 443 23
375 473 39
264 384 11
62 268 25
423 208 25
383 425 50
554 269 7
549 96 37
36 135 14
353 544 5
492 471 37
81 61 42
431 393 17
278 314 44
405 384 35
101 200 50
43 161 36
539 14 13
194 68 40
490 387 9
293 71 6
374 240 4
251 362 41
567 63 41
218 452 16
228 539 45
288 283 16
118 541 25
57 289 28
248 321 25
450 516 44
124 569 41
17 51 13
290 154 14
301 270 44
297 403 32
13 146 27
18 472 2
100
361 499
85 452
447 27
208 202
181 521
6 288
133 537
560 238
108 481
120 377
83 284
72 419
558 544
259 56
557 451
231 119
211 54
452 242
180 132
397 437
283 175
421 14
359 309
377 533
369 280
29 32
107 136
465 256
545 545
39 305
551 149
385 214
298 27
474 540
199 226
493 240
166 47
375 539
571 20
196 443
498 103
496 138
193 38
330 396
495 445
162 508
78 1
281 471
546 563
531 53
204 3
530 366
350 117
166 153
267 574
252 496
251 2
574 2
345 413
136 275
421 256
349 122
50 210
10 454
252 420
134 451
551 350
382 514
312 321
249 136
419 363
120 228
170 424
42 355
176 80
329 519
573 440
139 511
56 517
551 341
62 154
166 184
83 384
110 307
68 269
233 294
329 450
286 160
391 8
41 391
412 383
99 126
131 228
420 49
146 201
516 353
15 39
235 298
314 528
48 532
